date,open,high,low,close,adjusted_close,volume
2024-01-01,1.1046,1.1046,1.1036,1.1037,1.1037,112
2024-01-02,1.1037,1.1043,1.0939,1.0942,1.0942,909
2024-01-03,1.0942,1.0966,1.0893,1.0926,1.0926,465
2024-01-04,1.0926,1.0972,1.0916,1.0946,1.0946,111
2024-01-05,1.0947,1.0998,1.0877,1.0942,1.0942,653
2024-01-07,1.0947,1.0947,1.0935,1.0942,1.0942,126
2024-01-08,1.0942,1.0979,1.0923,1.095,1.095,193
2024-01-09,1.095,1.0966,1.0911,1.0932,1.0932,377
2024-01-10,1.0932,1.0975,1.0923,1.0974,1.0974,99
2024-01-11,1.0974,1.1,1.093,1.0983,1.0983,419
2024-01-12,1.0983,1.0987,1.0936,1.095,1.095,442
2024-01-14,1.0947,1.0952,1.0944,1.0945,1.0945,42
2024-01-15,1.0945,1.0968,1.0934,1.0945,1.0945,126
2024-01-16,1.0945,1.0946,1.0862,1.0879,1.0879,777
2024-01-17,1.0879,1.0886,1.0845,1.0886,1.0886,331
2024-01-18,1.0886,1.0907,1.0847,1.088,1.088,381
2024-01-19,1.088,1.0898,1.0866,1.0898,1.0898,151
2024-01-21,1.0894,1.0898,1.0889,1.0892,1.0892,63
2024-01-22,1.0892,1.091,1.0877,1.0877,1.0877,159
2024-01-23,1.0878,1.0916,1.0822,1.0857,1.0857,533
2024-01-24,1.0857,1.0932,1.0852,1.0881,1.0881,74
2024-01-25,1.0881,1.0902,1.0822,1.0846,1.0846,567
2024-01-26,1.0846,1.0886,1.0813,1.0854,1.0854,321
2024-01-28,1.0845,1.0849,1.0842,1.0842,1.0842,44
2024-01-29,1.0843,1.085,1.0796,1.0834,1.0834,448
2024-01-30,1.0834,1.0857,1.0812,1.0843,1.0843,221
2024-01-31,1.0843,1.0888,1.0795,1.0804,1.0804,464
2024-02-01,1.0804,1.0876,1.078,1.0874,1.0874,242
2024-02-02,1.0874,1.0898,1.0781,1.0787,1.0787,882
2024-02-04,1.0785,1.0787,1.077,1.078,1.078,153
2024-02-05,1.078,1.0786,1.0723,1.0741,1.0741,544
2024-02-06,1.0741,1.0762,1.0723,1.0757,1.0757,192
2024-02-07,1.0757,1.0784,1.0756,1.0776,1.0776,29
2024-02-08,1.0776,1.0789,1.0742,1.0778,1.0778,334
